Fluxes_sit,LAT,LONG,IGBP,COUNTRY,CONTINENT,Climate,Aridity,TIMESTAMP,year,month,VPD_F,VPD_kPa,GPP,Ga_h,Gs_mol,SWC,GPP_LN,Gs_mol_LN,SWC_LN,GPP_LOG,Gs_mol_LOG,SWC_LOG,VPD_kPa_LOG,VPD_LN,SPEI,TA_F,Drough,GPP_anomal,CLASS,Drough_cat
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200107,2001,7,7.17900000000,0.71790000000,7.09568000000,0.03662531200,0.00563317600,8.08700000000,1.95948614800,-5.17908187500,2.09025783400,0.85099402200,-2.24924668000,0.90778744300,-0.14393604700,-0.33142499500,-0.16 ,18.90600000000,Normal,0.13000000000,4,NO
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200108,2001,8,7.29900000000,0.72990000000,7.15202000000,0.03506968200,0.00496656700,10.34100000000,1.96739483400,-5.30502642200,2.33611657600,0.85442872000,-2.30394370100,1.01456253800,-0.13673663600,-0.31484774100,0.24 ,20.18300000000,Normal,0.31000000000,4,NO
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200109,2001,9,4.05100000000,0.40510000000,4.67679000000,0.03690989000,0.00493909200,12.26400000000,1.54261197700,-5.31057377000,2.50666814200,0.66994786900,-2.30635288400,1.08863214200,-0.39243775700,-0.90362132900,0.93 ,14.00000000000,Slight humid,0.09000000000,5,SH
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200110,2001,10,3.20600000000,0.32060000000,0.86171400000,0.04530345700,0.00357584200,16.52300000000,-0.14883185000,-5.63355460600,2.80475335000,-0.06463685100,-2.44662167900,1.21808890300,-0.49403648200,-1.13756103900,0.89 ,8.30000000000,Slight humid,-0.77000000000,5,SH
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200111,2001,11,2.35600000000,0.23560000000,0.20175700000,0.04246391800,0.00182215800,18.02500000000,-1.60069127600,-6.30773376600,2.89175968300,-0.69517138800,-2.73941396800,1.25587527300,-0.62782471400,-1.44561982700,-0.42 ,5.89500000000,Normal,-0.62000000000,4,NO
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200204,2002,4,3.88500000000,0.38850000000,0.25143200000,0.04898208500,0.00357455600,19.74300000000,-1.38058270400,-5.63391430600,2.98279899800,-0.59957945000,-2.44677789500,1.29541314600,-0.41060897700,-0.94546210900,0.63 ,4.77600000000,Slight humid,-1.07000000000,5,SH
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200205,2002,5,4.58300000000,0.45830000000,1.61915000000,0.05160865300,0.00507420900,18.80300000000,0.48190132000,-5.28358462800,2.93401643200,0.20928708400,-2.29463164900,1.27422714600,-0.33885014300,-0.78023128700,1.61 ,8.43400000000,Moderate humid,-1.07000000000,6,MH
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200206,2002,6,6.95500000000,0.69550000000,7.64213000000,0.03888054800,0.00528188400,16.81100000000,2.03367636000,-5.24347242700,2.82203343400,0.88321442100,-2.27721114100,1.22559354800,-0.15770286600,-0.36312426800,0.36 ,17.82600000000,Normal,0.22000000000,4,NO
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200207,2002,7,8.77500000000,0.87750000000,10.91700000000,0.03519116200,0.00622858400,10.36700000000,2.39032120700,-5.07860625900,2.33862768400,1.03810331000,-2.20561067400,1.01565309900,-0.05675287500,-0.13067832400,-0.30 ,21.75200000000,Normal,0.93000000000,4,NO
US_UMB,45.55980000000,-84.71380000000,DBF,USA,North America,Dfb,Humid,200208,2002,8,6.91400000000,0.69140000000,9.04235000000,0.02894900800,0.00521172300,13.70400000000,2.20191909600,-5.25684476800,2.61768776100,0.95628131300,-2.28301867500,1.13684735000,-0.16027062500,-0.36903675100,0.88 ,19.49000000000,Slight humid,0.82000000000,5,SH
