VPD_kPa,GPP,Gs_mol,SWC
0.3258,2.52035,0.003251684,7.348
0.207,0.300444,0.001114633,11.483
0.4218,0.431215,0.002342641,13.354
0.6172,2.79052,0.003816087,11.986
0.6563,9.18141,0.005679723,11.059
0.5426,10.6386,0.006153117,6.374
0.5361,9.25498,0.005475924,9.604
0.4742,7.2906,0.004779757,8.813
0.1771,1.84438,0.002059964,13.65
0.2172,0.323821,0.000821206,12.538
0.4056,0.0216378,0.001245407,12.602
0.6295,1.14868,0.002478774,11.924
0.8031,5.37161,0.005177989,11.545
0.4888,9.53678,0.005210462,12.878
0.7957,9.6298,0.006439157,8.3
0.6674,8.46685,0.005403173,10.784
0.3566,5.60846,0.004355604,13.964
0.3894,1.45914,0.002534111,11.576
0.1914,0.364369,0.001032175,14.257
0.3053,0.318791,0.001400551,16.657
0.5211,2.91685,0.014059958,13.917
0.6831,9.97608,0.006171571,11.831
0.8718,11.5373,0.005388006,5.409
0.6895,8.61244,0.003947949,5.142
0.4325,6.74113,0.003747311,9.555
0.429,2.66254,0.013735264,11.825
0.2439,0.430452,0.001032438,13.865
0.116,0.0535578,0.000530149,13.435
0.1468,0.0189677,0.000715781,12.702
0.4181,0.234251,0.001104421,15.417
0.4161,1.21136,0.003576494,12.556
0.8238,5.59027,0.004399187,10.316
0.8535,11.5637,0.006985243,10.415
0.9038,11.4693,0.005159942,7.078
0.8187,9.64894,0.005442906,7.669
0.515,6.71307,0.003582183,7.212
0.2801,1.85547,0.002749478,12.629
0.2134,0.46375,0.00103446,12.848
0.1041,0.0474979,0.000536361,14.023
0.0963,0.0718076,0.003977441,13.769
0.076,0.0662101,0.00074659,14.264
0.2447,0.293779,0.001881379,17.356
0.7016,3.23062,0.003528409,13.859
0.6578,10.4153,0.005033709,8.113
0.8001,10.3274,0.004927703,6.312
0.719,8.6036,0.004036523,4.705
0.4303,7.52989,0.004307432,7.717
0.2913,2.84212,0.002645604,10.871
0.1661,0.404008,0.001402328,9.931
0.0678,0.00232849,0.000367013,8.661
0.0817,0.0959277,0.001139451,8.686
0.2702,0.518151,0.00177387,11.665
0.5543,1.82861,0.003338297,9.803
0.758,10.6994,0.005368023,5.903
0.6223,11.9592,0.00616366,5.193
0.5406,9.16195,0.003416297,5.142
0.4094,7.61801,0.004724313,8.518
0.2053,2.16582,0.00179552,9.295
0.3028,2.97504,0.014012837,21.002
0.2043,5.09517,0.01576791,19.257
0.2823,4.89933,0.014657246,25.727
0.357,5.2597,0.019702463,28.54
0.8145,6.59442,0.014313782,23.806
0.621,7.01456,0.024162825,13.359
1.9565,1.92141,0.005480451,6.813
0.4539,0.537442,0.006796121,14.697
0.1911,1.01534,0.016409798,26.261
0.1674,1.27581,0.019778417,24.021
0.3455,3.0457,0.020660678,23.864
0.473,6.1632,0.025989735,25.372
0.524,8.1041,0.026186951,10.476
1.077,1.67359,0.008601324,7.531
0.5096,0.267088,0.005384701,12.609
0.1292,2.47727,0.024641745,25.277
0.3438,3.89713,0.021472196,22.92
0.4507,6.86936,0.029443452,20.959
0.3679,8.74123,0.037781798,23.202
0.9045,6.70757,0.017112959,15.987
1.6478,0.333127,0.002422178,6.561
0.3741,0.551352,0.007796138,13.074
0.1795,0.697694,0.024069948,22.286
0.1139,1.39372,0.028253638,24.661
0.3081,3.30696,0.021076006,25.837
0.6064,7.74842,0.023284581,19.638
0.9769,5.04491,0.011559229,8.53
1.2035,0.302602,0.002993929,4.16
0.832,0.214139,0.003752965,10.049
0.3633,1.30731,0.014246241,22.435
0.3973,8.71079,0.031019775,19.843
0.5074,10.2317,0.032750956,15.046
0.7659,5.05317,0.021729291,11.991
1.2406,0.33328,0.00578658,6.769
0.9602,0.131853,0.001676789,4.217
0.2111,0.295279,0.018196252,18.848
0.2286,0.893137,0.020016325,29.324
0.5014,2.72037,0.014302548,23.585
0.2963,4.61606,0.036538939,27.133
0.3677,5.3999,0.036483827,25.782
0.9901,4.73591,0.017638122,10.058
1.81,0.111845,0.002087362,7.623
0.3658,1.36428,0.009528491,10.238
0.3528,1.31348,0.011165179,15.49
0.4154,1.38675,0.009656256,21.179
0.3114,2.09187,0.021725724,23.013
0.5806,7.55456,0.021917603,17.576
0.6635,8.26511,0.019885274,10.739
1.2674,2.53497,0.008137828,6.331
0.5916,0.473814,0.003485332,8.869
0.2541,0.574674,0.009862923,14.645
0.2685,1.12446,0.016272009,22.819
0.5911,3.67184,0.01710162,17.622
0.9446,3.17168,0.011542596,10.046
1.4099,0.61142,0.003383281,5.935
0.3878,0.664079,0.01077483,12.803
0.1774,0.779533,0.022548156,13.913
0.7483,8.08899,0.020603518,8.333
1.2375,2.98581,0.008684809,7.512
0.5046,7.82637,0.024719546,22.378
0.8301,5.69612,0.019897066,13.419
1.6129,0.618284,0.004262426,7.6
1.9531,0.161728,0.000397202,6.209
0.103,1.32952,0.025291855,25.454
0.3861,1.13568,0.016255922,25.844
0.5447,7.03753,0.022453375,21.103
0.8079,3.28655,0.012382761,13.881
1.2537,1.261,0.006739286,11.693
0.5837,7.35231,0.025488079,24.483
1.1774,4.87466,0.01113747,9.589
0.2967,2.10599,0.014582724,31.822
0.4412,4.17018,0.017089481,24.158
0.5836,5.92927,0.020295857,12.706
0.9484,5.04515,0.015153199,5.925
1.3694,0.0936505,0.003163145,2.671
0.476,0.23602,0.004503227,8.431
0.7082,0.259869,0.002441401,7.648
0.386,1.59685,0.014879339,23.417
0.6227,6.64225,0.020717316,27.092
0.7161,9.92443,0.024286438,19.681
1.4407,2.15464,0.00640637,5.994
0.5088,0.675689,0.007101289,8.012
0.2709,1.5208,0.018559469,28.526
0.5136,0.229413,0.005191924,30.569
0.607,2.51362,0.017965795,32.262
0.3165,4.03636,0.02476635,31.377
0.3057,0.17047,0.007690352,31.508
0.2339,0.0800551,0.005046045,31.31
0.3759,0.149707,0.008097882,35.903
0.4638,4.17757,0.019343323,33.589
0.3499,9.25212,0.044163808,34.285
0.3903,11.0866,0.04994757,34.302
0.3358,7.89615,0.054524848,32.188
0.3048,5.1663,0.039789705,32.124
0.3442,0.263491,0.007852064,31.342
0.3592,0.0732342,0.007853969,41.046
0.4288,3.41394,0.019533046,39.632
0.2925,0.22976,0.00731215,33.726
0.1949,0.127782,0.00462182,35.069
0.3778,1.72714,0.016509793,38.687
0.3216,8.06476,0.048453,33.538
0.2392,4.98197,0.032462074,36.298
0.1153,0.862766,0.01554654,41.215
0.54,2.36341,0.009746636,37.308
0.4925,9.83485,0.022923684,32.372
0.4016,9.9242,0.024815688,26.058
0.2341,0.384552,0.006652826,25.518
0.2555,9.05403,0.047560587,29.692
0.1959,0.921542,0.010138429,31.137
0.315,3.26465,0.01632307,35.058
0.401,11.3841,0.038369131,33.184
0.3946,13.3845,0.054952295,27.126
0.3443,11.5665,0.044340324,18.264
0.3789,6.02775,0.020080742,18.747
0.1832,0.404697,0.01123234,28.428
0.0426,0.0504885,0.001695442,30.708
0.471,0.170826,0.006454276,37.481
0.3684,4.296,0.018502252,34.624
0.4926,12.5507,0.036162443,28.884
0.5574,11.1184,0.037395856,24.635
0.3415,9.85247,0.049912924,31.524
0.2263,4.99888,0.03763171,29.578
0.1809,0.041063,0.003141383,34.217
0.2709,0.152244,0.003866543,41.287
0.4421,1.10669,0.010116074,39.194
0.5216,8.0072,0.026651747,34.3
0.4747,9.74037,0.040246753,29.423
0.375,8.47598,0.043688874,30.455
0.2427,4.24302,0.036572819,27.642
0.3764,0.241256,0.004754937,32.219
0.0919,0.175755,0.000678139,33.465
0.2799,0.0605895,0.001271828,36.205
0.389,0.262117,0.005935472,37.024
0.6027,4.7978,0.015154823,37.902
0.6051,8.75433,0.024282796,36.468
0.6008,9.86384,0.025479608,33.827
0.452,7.11423,0.031041711,33.052
0.4069,3.41321,0.017686823,26.211
0.2177,0.0750407,0.007070689,29.763
